sim_id,run_time,lati,long,zagl,foot_nc,traj_rds
hrrr-analysis-20170611-p250-h24-m30c3bdd2ea24_20170611T205203Z_2b96e595f998,2017-06-11T20:52:03Z,32.77559,-116.00112,5,/mnt/d/lagrangian-jepa-cn/reuse_stilt/server_backup_20260830/stilt/out/by-id/hrrr-analysis-20170611-p250-h24-m30c3bdd2ea24_20170611T205203Z_2b96e595f998/hrrr-analysis-20170611-p250-h24-m30c3bdd2ea24_20170611T205203Z_2b96e595f998_foot.nc,/mnt/d/lagrangian-jepa-cn/reuse_stilt/server_backup_20260830/stilt/out/by-id/hrrr-analysis-20170611-p250-h24-m30c3bdd2ea24_20170611T205203Z_2b96e595f998/hrrr-analysis-20170611-p250-h24-m30c3bdd2ea24_20170611T205203Z_2b96e595f998_traj.rds
hrrr-analysis-20170611-p250-h24-m30c3bdd2ea24_20170611T205203Z_57b911888602,2017-06-11T20:52:03Z,32.85571,-116.00009,5,/mnt/d/lagrangian-jepa-cn/reuse_stilt/server_backup_20260830/stilt/out/by-id/hrrr-analysis-20170611-p250-h24-m30c3bdd2ea24_20170611T205203Z_57b911888602/hrrr-analysis-20170611-p250-h24-m30c3bdd2ea24_20170611T205203Z_57b911888602_foot.nc,/mnt/d/lagrangian-jepa-cn/reuse_stilt/server_backup_20260830/stilt/out/by-id/hrrr-analysis-20170611-p250-h24-m30c3bdd2ea24_20170611T205203Z_57b911888602/hrrr-analysis-20170611-p250-h24-m30c3bdd2ea24_20170611T205203Z_57b911888602_traj.rds
hrrr-analysis-20170611-p250-h24-m30c3bdd2ea24_20170611T205204Z_9e9058dc6607,2017-06-11T20:52:04Z,32.80276,-116.01295,5,/mnt/d/lagrangian-jepa-cn/reuse_stilt/server_backup_20260830/stilt/out/by-id/hrrr-analysis-20170611-p250-h24-m30c3bdd2ea24_20170611T205204Z_9e9058dc6607/hrrr-analysis-20170611-p250-h24-m30c3bdd2ea24_20170611T205204Z_9e9058dc6607_foot.nc,/mnt/d/lagrangian-jepa-cn/reuse_stilt/server_backup_20260830/stilt/out/by-id/hrrr-analysis-20170611-p250-h24-m30c3bdd2ea24_20170611T205204Z_9e9058dc6607/hrrr-analysis-20170611-p250-h24-m30c3bdd2ea24_20170611T205204Z_9e9058dc6607_traj.rds
hrrr-analysis-20170611-p250-h24-m30c3bdd2ea24_20170611T205204Z_264c052546af,2017-06-11T20:52:04Z,32.87213,-116.01340,5,/mnt/d/lagrangian-jepa-cn/reuse_stilt/server_backup_20260830/stilt/out/by-id/hrrr-analysis-20170611-p250-h24-m30c3bdd2ea24_20170611T205204Z_264c052546af/hrrr-analysis-20170611-p250-h24-m30c3bdd2ea24_20170611T205204Z_264c052546af_foot.nc,/mnt/d/lagrangian-jepa-cn/reuse_stilt/server_backup_20260830/stilt/out/by-id/hrrr-analysis-20170611-p250-h24-m30c3bdd2ea24_20170611T205204Z_264c052546af/hrrr-analysis-20170611-p250-h24-m30c3bdd2ea24_20170611T205204Z_264c052546af_traj.rds
hrrr-analysis-20170611-p250-h24-m30c3bdd2ea24_20170611T205204Z_296b353a7b91,2017-06-11T20:52:04Z,32.91146,-116.01663,5,/mnt/d/lagrangian-jepa-cn/reuse_stilt/server_backup_20260830/stilt/out/by-id/hrrr-analysis-20170611-p250-h24-m30c3bdd2ea24_20170611T205204Z_296b353a7b91/hrrr-analysis-20170611-p250-h24-m30c3bdd2ea24_20170611T205204Z_296b353a7b91_foot.nc,/mnt/d/lagrangian-jepa-cn/reuse_stilt/server_backup_20260830/stilt/out/by-id/hrrr-analysis-20170611-p250-h24-m30c3bdd2ea24_20170611T205204Z_296b353a7b91/hrrr-analysis-20170611-p250-h24-m30c3bdd2ea24_20170611T205204Z_296b353a7b91_traj.rds
hrrr-analysis-20170611-p250-h24-m30c3bdd2ea24_20170611T205204Z_a23254b57865,2017-06-11T20:52:04Z,32.83969,-116.02419,5,/mnt/d/lagrangian-jepa-cn/reuse_stilt/server_backup_20260830/stilt/out/by-id/hrrr-analysis-20170611-p250-h24-m30c3bdd2ea24_20170611T205204Z_a23254b57865/hrrr-analysis-20170611-p250-h24-m30c3bdd2ea24_20170611T205204Z_a23254b57865_foot.nc,/mnt/d/lagrangian-jepa-cn/reuse_stilt/server_backup_20260830/stilt/out/by-id/hrrr-analysis-20170611-p250-h24-m30c3bdd2ea24_20170611T205204Z_a23254b57865/hrrr-analysis-20170611-p250-h24-m30c3bdd2ea24_20170611T205204Z_a23254b57865_traj.rds
hrrr-analysis-20170611-p250-h24-m30c3bdd2ea24_20170611T205205Z_0e5f93d70c4e,2017-06-11T20:52:05Z,32.92769,-116.02991,5,/mnt/d/lagrangian-jepa-cn/reuse_stilt/server_backup_20260830/stilt/out/by-id/hrrr-analysis-20170611-p250-h24-m30c3bdd2ea24_20170611T205205Z_0e5f93d70c4e/hrrr-analysis-20170611-p250-h24-m30c3bdd2ea24_20170611T205205Z_0e5f93d70c4e_foot.nc,/mnt/d/lagrangian-jepa-cn/reuse_stilt/server_backup_20260830/stilt/out/by-id/hrrr-analysis-20170611-p250-h24-m30c3bdd2ea24_20170611T205205Z_0e5f93d70c4e/hrrr-analysis-20170611-p250-h24-m30c3bdd2ea24_20170611T205205Z_0e5f93d70c4e_traj.rds
hrrr-analysis-20170611-p250-h24-m30c3bdd2ea24_20170611T205205Z_d0c9c23eefaa,2017-06-11T20:52:05Z,32.87622,-116.03611,5,/mnt/d/lagrangian-jepa-cn/reuse_stilt/server_backup_20260830/stilt/out/by-id/hrrr-analysis-20170611-p250-h24-m30c3bdd2ea24_20170611T205205Z_d0c9c23eefaa/hrrr-analysis-20170611-p250-h24-m30c3bdd2ea24_20170611T205205Z_d0c9c23eefaa_foot.nc,/mnt/d/lagrangian-jepa-cn/reuse_stilt/server_backup_20260830/stilt/out/by-id/hrrr-analysis-20170611-p250-h24-m30c3bdd2ea24_20170611T205205Z_d0c9c23eefaa/hrrr-analysis-20170611-p250-h24-m30c3bdd2ea24_20170611T205205Z_d0c9c23eefaa_traj.rds
hrrr-analysis-20170611-p250-h24-m30c3bdd2ea24_20170611T205205Z_04e61d040b99,2017-06-11T20:52:05Z,32.96693,-116.03341,5,/mnt/d/lagrangian-jepa-cn/reuse_stilt/server_backup_20260830/stilt/out/by-id/hrrr-analysis-20170611-p250-h24-m30c3bdd2ea24_20170611T205205Z_04e61d040b99/hrrr-analysis-20170611-p250-h24-m30c3bdd2ea24_20170611T205205Z_04e61d040b99_foot.nc,/mnt/d/lagrangian-jepa-cn/reuse_stilt/server_backup_20260830/stilt/out/by-id/hrrr-analysis-20170611-p250-h24-m30c3bdd2ea24_20170611T205205Z_04e61d040b99/hrrr-analysis-20170611-p250-h24-m30c3bdd2ea24_20170611T205205Z_04e61d040b99_traj.rds
hrrr-analysis-20170611-p250-h24-m30c3bdd2ea24_20170611T205206Z_6526ddaefe10,2017-06-11T20:52:06Z,32.91327,-116.04707,5,/mnt/d/lagrangian-jepa-cn/reuse_stilt/server_backup_20260830/stilt/out/by-id/hrrr-analysis-20170611-p250-h24-m30c3bdd2ea24_20170611T205206Z_6526ddaefe10/hrrr-analysis-20170611-p250-h24-m30c3bdd2ea24_20170611T205206Z_6526ddaefe10_foot.nc,/mnt/d/lagrangian-jepa-cn/reuse_stilt/server_backup_20260830/stilt/out/by-id/hrrr-analysis-20170611-p250-h24-m30c3bdd2ea24_20170611T205206Z_6526ddaefe10/hrrr-analysis-20170611-p250-h24-m30c3bdd2ea24_20170611T205206Z_6526ddaefe10_traj.rds
