sim_id,run_time,lati,long,zagl,foot_nc,traj_rds
hrrr-analysis-20170429-p250-h24-ma69d95830403_20170429T210727Z_c06a8d971d99,2017-04-29T21:07:27Z,33.96426,-118.08492,5,/mnt/d/lagrangian-jepa-cn/reuse_stilt/server_backup_20260830/stilt/out/by-id/hrrr-analysis-20170429-p250-h24-ma69d95830403_20170429T210727Z_c06a8d971d99/hrrr-analysis-20170429-p250-h24-ma69d95830403_20170429T210727Z_c06a8d971d99_foot.nc,/mnt/d/lagrangian-jepa-cn/reuse_stilt/server_backup_20260830/stilt/out/by-id/hrrr-analysis-20170429-p250-h24-ma69d95830403_20170429T210727Z_c06a8d971d99/hrrr-analysis-20170429-p250-h24-ma69d95830403_20170429T210727Z_c06a8d971d99_traj.rds
hrrr-analysis-20170429-p250-h24-ma69d95830403_20170429T210728Z_89437a8ace09,2017-04-29T21:07:28Z,33.91741,-117.98355,5,/mnt/d/lagrangian-jepa-cn/reuse_stilt/server_backup_20260830/stilt/out/by-id/hrrr-analysis-20170429-p250-h24-ma69d95830403_20170429T210728Z_89437a8ace09/hrrr-analysis-20170429-p250-h24-ma69d95830403_20170429T210728Z_89437a8ace09_foot.nc,/mnt/d/lagrangian-jepa-cn/reuse_stilt/server_backup_20260830/stilt/out/by-id/hrrr-analysis-20170429-p250-h24-ma69d95830403_20170429T210728Z_89437a8ace09/hrrr-analysis-20170429-p250-h24-ma69d95830403_20170429T210728Z_89437a8ace09_traj.rds
hrrr-analysis-20170429-p250-h24-ma69d95830403_20170429T210729Z_ccbbf1ad722c,2017-04-29T21:07:29Z,33.88359,-117.91729,5,/mnt/d/lagrangian-jepa-cn/reuse_stilt/server_backup_20260830/stilt/out/by-id/hrrr-analysis-20170429-p250-h24-ma69d95830403_20170429T210729Z_ccbbf1ad722c/hrrr-analysis-20170429-p250-h24-ma69d95830403_20170429T210729Z_ccbbf1ad722c_foot.nc,/mnt/d/lagrangian-jepa-cn/reuse_stilt/server_backup_20260830/stilt/out/by-id/hrrr-analysis-20170429-p250-h24-ma69d95830403_20170429T210729Z_ccbbf1ad722c/hrrr-analysis-20170429-p250-h24-ma69d95830403_20170429T210729Z_ccbbf1ad722c_traj.rds
hrrr-analysis-20170429-p250-h24-ma69d95830403_20170429T210732Z_53c5ab327c66,2017-04-29T21:07:32Z,33.82281,-118.11892,5,/mnt/d/lagrangian-jepa-cn/reuse_stilt/server_backup_20260830/stilt/out/by-id/hrrr-analysis-20170429-p250-h24-ma69d95830403_20170429T210732Z_53c5ab327c66/hrrr-analysis-20170429-p250-h24-ma69d95830403_20170429T210732Z_53c5ab327c66_foot.nc,/mnt/d/lagrangian-jepa-cn/reuse_stilt/server_backup_20260830/stilt/out/by-id/hrrr-analysis-20170429-p250-h24-ma69d95830403_20170429T210732Z_53c5ab327c66/hrrr-analysis-20170429-p250-h24-ma69d95830403_20170429T210732Z_53c5ab327c66_traj.rds
hrrr-analysis-20170429-p250-h24-ma69d95830403_20170429T210732Z_e7758148cb68,2017-04-29T21:07:32Z,33.84156,-117.97182,5,/mnt/d/lagrangian-jepa-cn/reuse_stilt/server_backup_20260830/stilt/out/by-id/hrrr-analysis-20170429-p250-h24-ma69d95830403_20170429T210732Z_e7758148cb68/hrrr-analysis-20170429-p250-h24-ma69d95830403_20170429T210732Z_e7758148cb68_foot.nc,/mnt/d/lagrangian-jepa-cn/reuse_stilt/server_backup_20260830/stilt/out/by-id/hrrr-analysis-20170429-p250-h24-ma69d95830403_20170429T210732Z_e7758148cb68/hrrr-analysis-20170429-p250-h24-ma69d95830403_20170429T210732Z_e7758148cb68_traj.rds
hrrr-analysis-20170429-p250-h24-ma69d95830403_20170429T210735Z_a098973b2aa6,2017-04-29T21:07:35Z,33.88419,-118.04064,5,/mnt/d/lagrangian-jepa-cn/reuse_stilt/server_backup_20260830/stilt/out/by-id/hrrr-analysis-20170429-p250-h24-ma69d95830403_20170429T210735Z_a098973b2aa6/hrrr-analysis-20170429-p250-h24-ma69d95830403_20170429T210735Z_a098973b2aa6_foot.nc,/mnt/d/lagrangian-jepa-cn/reuse_stilt/server_backup_20260830/stilt/out/by-id/hrrr-analysis-20170429-p250-h24-ma69d95830403_20170429T210735Z_a098973b2aa6/hrrr-analysis-20170429-p250-h24-ma69d95830403_20170429T210735Z_a098973b2aa6_traj.rds
hrrr-analysis-20170429-p250-h24-ma69d95830403_20170429T210736Z_131e4ec06736,2017-04-29T21:07:36Z,33.90154,-118.13338,5,/mnt/d/lagrangian-jepa-cn/reuse_stilt/server_backup_20260830/stilt/out/by-id/hrrr-analysis-20170429-p250-h24-ma69d95830403_20170429T210736Z_131e4ec06736/hrrr-analysis-20170429-p250-h24-ma69d95830403_20170429T210736Z_131e4ec06736_foot.nc,/mnt/d/lagrangian-jepa-cn/reuse_stilt/server_backup_20260830/stilt/out/by-id/hrrr-analysis-20170429-p250-h24-ma69d95830403_20170429T210736Z_131e4ec06736/hrrr-analysis-20170429-p250-h24-ma69d95830403_20170429T210736Z_131e4ec06736_traj.rds
hrrr-analysis-20170429-p250-h24-ma69d95830403_20170429T210737Z_f37e4dde4c7e,2017-04-29T21:07:37Z,33.97264,-117.96733,5,/mnt/d/lagrangian-jepa-cn/reuse_stilt/server_backup_20260830/stilt/out/by-id/hrrr-analysis-20170429-p250-h24-ma69d95830403_20170429T210737Z_f37e4dde4c7e/hrrr-analysis-20170429-p250-h24-ma69d95830403_20170429T210737Z_f37e4dde4c7e_foot.nc,/mnt/d/lagrangian-jepa-cn/reuse_stilt/server_backup_20260830/stilt/out/by-id/hrrr-analysis-20170429-p250-h24-ma69d95830403_20170429T210737Z_f37e4dde4c7e/hrrr-analysis-20170429-p250-h24-ma69d95830403_20170429T210737Z_f37e4dde4c7e_traj.rds
hrrr-analysis-20170429-p250-h24-ma69d95830403_20170429T210738Z_57ab2c50fd03,2017-04-29T21:07:38Z,34.01600,-118.06489,5,/mnt/d/lagrangian-jepa-cn/reuse_stilt/server_backup_20260830/stilt/out/by-id/hrrr-analysis-20170429-p250-h24-ma69d95830403_20170429T210738Z_57ab2c50fd03/hrrr-analysis-20170429-p250-h24-ma69d95830403_20170429T210738Z_57ab2c50fd03_foot.nc,/mnt/d/lagrangian-jepa-cn/reuse_stilt/server_backup_20260830/stilt/out/by-id/hrrr-analysis-20170429-p250-h24-ma69d95830403_20170429T210738Z_57ab2c50fd03/hrrr-analysis-20170429-p250-h24-ma69d95830403_20170429T210738Z_57ab2c50fd03_traj.rds
hrrr-analysis-20170429-p250-h24-ma69d95830403_20170429T210738Z_44ea7166d127,2017-04-29T21:07:38Z,34.02872,-118.15644,5,/mnt/d/lagrangian-jepa-cn/reuse_stilt/server_backup_20260830/stilt/out/by-id/hrrr-analysis-20170429-p250-h24-ma69d95830403_20170429T210738Z_44ea7166d127/hrrr-analysis-20170429-p250-h24-ma69d95830403_20170429T210738Z_44ea7166d127_foot.nc,/mnt/d/lagrangian-jepa-cn/reuse_stilt/server_backup_20260830/stilt/out/by-id/hrrr-analysis-20170429-p250-h24-ma69d95830403_20170429T210738Z_44ea7166d127/hrrr-analysis-20170429-p250-h24-ma69d95830403_20170429T210738Z_44ea7166d127_traj.rds
